Census,X_Center,Y_Center,lats,lngs
192001,6456507.947,1853579.645,34.08522714,-118.3472967
192002,6454076.372,1852974.703,34.0835415,-118.3553201
192300,6462195.24,1851564.739,34.07974302,-118.3284923
192410,6465342.03,1851596.362,34.07985773,-118.3181008
192420,6467391.613,1851598.075,34.07988007,-118.3113323
192510,6468746.832,1851589.891,34.07986903,-118.3068568
192520,6470067.049,1851606.434,34.07992548,-118.3024972
192610,6471989.385,1852124.565,34.08136496,-118.2961539
192620,6472015.664,1850780.418,34.07767166,-118.2960541
192700,6474424.817,1851625.607,34.08001335,-118.2881064
194101,6454808.494,1863117.117,34.11141841,-118.3530199
194102,6450811.735,1865113.935,34.11686607,-118.3662476
194200,6448145.549,1860262.693,34.10350858,-118.3749964
194300,6444352.851,1859606.254,34.10166526,-118.3875164
194401,6451381.364,1853263.948,34.0843098,-118.3642238
194402,6449057.696,1853538.449,34.08504071,-118.3719012
194500,6449746.55,1851037.432,34.07817528,-118.3695958
195100,6480890.716,1859181.395,34.1008246,-118.2668198
195201,6477357.637,1862072.362,34.10874223,-118.2785167
195202,6477344.388,1859963.536,34.10294738,-118.2785412
195300,6475782.111,1858622.558,34.09925056,-118.2836893
195400,6478691.872,1855863.813,34.09169211,-118.2740532
195500,6481546.877,1854580.379,34.08818644,-118.2646124
195600,6481256.456,1851902.324,34.08082543,-118.2655482
195710,6480325.691,1849686.239,34.07472915,-118.2686024
195720,6481906.768,1849330.324,34.07376265,-118.2633783
195802,6477572.866,1850036.3,34.07567051,-118.2776959
195803,6477811.409,1852269.699,34.08180938,-118.2769285
195804,6479052.705,1851161.808,34.07877438,-118.2728192
195901,6476187.527,1854810.463,34.08877861,-118.2823148
195902,6477094.145,1853936.247,34.08638335,-118.2793125
195903,6476141.462,1851911.686,34.08081284,-118.2824401
197200,6490662.658,1855363.875,34.09040156,-118.2345118
197300,6485345.092,1852005.295,34.0811373,-118.2520467
197410,6485843.444,1856291.137,34.0929176,-118.2504362
197420,6483790.937,1852759.879,34.08319997,-118.2571856
197500,6483628.511,1849031.158,34.07295285,-118.2576904
197600,6485351.681,1847344.978,34.06833148,-118.2519864
197700,6487232.893,1847417.492,34.06854353,-118.2457754
199000,6495227.644,1851617.981,34.0801367,-118.2194076
199110,6501890.007,1851322.067,34.07936153,-118.197404
199120,6501172.58,1847918.501,34.07000512,-118.1997509
199201,6497495.909,1850187.907,34.07622044,-118.211907
199202,6500107.486,1852025.073,34.08128353,-118.2032952
199300,6501351.544,1856149.723,34.09262433,-118.1992138
199400,6498258.162,1854933.674,34.08926552,-118.2094225
199700,6494971.669,1847052.625,34.06759022,-118.2202199
199800,6497966.106,1848162.008,34.07065627,-118.2103403
199900,6497587.673,1846133.285,34.06507945,-118.2115758
201110,6508885.84,1856929.028,34.09480422,-118.1743334
201120,6512112.309,1856977.208,34.09495152,-118.1636768
201200,6507608.126,1854712.809,34.0887082,-118.1785407
201301,6504801.766,1854541.666,34.08822387,-118.1878082
